2022-01-26T12:23:21-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 7.357
2022-01-26T12:23:49-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.295
2022-01-26T12:23:49-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 7.442
2022-01-26T12:23:49-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 17.241
2022-01-26T12:23:49-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 17.368
2022-01-26T12:23:49-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 18.393
2022-01-26T12:23:57-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 3.966
2022-01-26T12:23:57-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 5.987
2022-01-26T12:23:57-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 7.544
2022-01-26T12:24:04-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.580
2022-01-26T12:24:04-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.694
2022-01-26T12:24:04-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.566
2022-01-26T12:24:05-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 5.378
2022-01-26T12:24:05-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 7.181
2022-01-26T12:24:05-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 8.415
2022-01-26T12:24:05-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 12.915
2022-01-26T12:24:06-04:00, ::1, OPTIONS, /api/powerbi/reportData, HTTP/1.1, 204, 0.072
2022-01-26T12:24:06-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 18.620
2022-01-26T12:24:06-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 18.099
2022-01-26T12:24:06-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 2.979
2022-01-26T12:24:06-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 4.895
2022-01-26T12:24:06-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.748
2022-01-26T12:24:07-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.835
2022-01-26T12:24:07-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.163
2022-01-26T12:24:07-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.206
2022-01-26T12:24:09-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 3235.412
2022-01-26T12:28:31-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.302
2022-01-26T12:28:31-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 5.566
2022-01-26T12:28:31-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 5.498
2022-01-26T12:28:31-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 8.413
2022-01-26T12:28:34-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 2.097
2022-01-26T12:31:45-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.337
2022-01-26T12:31:45-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 6.106
2022-01-26T12:31:45-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 5.674
2022-01-26T12:31:45-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 7.861
2022-01-26T12:31:47-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.849
2022-01-26T12:31:47-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.231
2022-01-26T12:31:47-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.321
2022-01-26T12:31:52-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.248
2022-01-26T12:31:52-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.214
2022-01-26T12:31:53-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 2.253
2022-01-26T12:31:54-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.221
2022-01-26T12:31:54-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.539
2022-01-26T12:31:54-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.732
2022-01-26T12:32:21-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.202
2022-01-26T12:32:21-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.415
2022-01-26T12:32:54-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.437
2022-01-26T12:32:54-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.453
2022-01-26T12:35:39-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.536
